seqid	assembly	chromosome	start	end	strand	geneID	hsfamily	lsfamily
Os01t0106400-01	IRGSP-1.0	1	327128	328450	-1	Os01g0106400	708	268
Os01t0106500-01	IRGSP-1.0	1	331382	332345	-1	Os01g0106500	3029	2871
Os01t0106600-01	IRGSP-1.0	1	332667	333689	-1	Os01g0106600	0	1981
Os01t0106700-00	IRGSP-1.0	1	335809	370652	1	Os01g0106700	0	1457
Os01t0106800-01	IRGSP-1.0	1	371831	374412	1	Os01g0106800	1880	4
Os01t0106900-01	IRGSP-1.0	1	374728	380713	-1	Os01g0106900	0	0
Os01t0107000-01	IRGSP-1.0	1	383250	386648	-1	Os01g0107000	1883	1982
Os01t0107400-01	IRGSP-1.0	1	392083	392578	-1	Os01g0107400	0	0
Os01t0107700-01	IRGSP-1.0	1	412625	415823	1	Os01g0107700	3031	483
Os01t0107750-00	IRGSP-1.0	1	412636	415516	-1	Os01g0107750	0	0
Os01t0107900-02	IRGSP-1.0	1	416267	418797	-1	Os01g0107900	0	2872
Os01t0108000-01	IRGSP-1.0	1	422539	431217	1	Os01g0108000	3032	1983
Os01t0108200-01	IRGSP-1.0	1	441203	448951	1	Os01g0108200	3033	914
Os01t0108400-00	IRGSP-1.0	1	455707	457425	1	Os01g0108400	0	2874
Os01t0108500-00	IRGSP-1.0	1	460177	461371	1	Os01g0108500	1884	247
Os01t0108600-01	IRGSP-1.0	1	478384	481099	1	Os01g0108600	0	2874
Os01t0108700-01	IRGSP-1.0	1	482332	482955	1	Os01g0108700	0	0
Os01t0108800-01	IRGSP-1.0	1	483887	486492	1	Os01g0108800	1284	762
Os01t0109000-01	IRGSP-1.0	1	495711	497253	-1	Os01g0109000	0	0
Os01t0109201-01	IRGSP-1.0	1	498612	506251	-1	Os01g0109201	0	0
Os01t0109300-01	IRGSP-1.0	1	498668	506233	1	Os01g0109300	0	0
Os01t0109366-00	IRGSP-1.0	1	508687	509191	1	Os01g0109366	0	0
Os01t0109432-00	IRGSP-1.0	1	509226	509803	-1	Os01g0109432	0	0
Os01t0109500-01	IRGSP-1.0	1	510752	512142	1	Os01g0109500	0	0
Os01t0109700-01	IRGSP-1.0	1	513890	522448	-1	Os01g0109700	3034	1148
Os01t0109750-01	IRGSP-1.0	1	524671	527980	-1	Os01g0109750	3035	1148
Os01t0110050-01	IRGSP-1.0	1	536973	538644	-1	Os01g0110050	0	0
Os01t0110100-01	IRGSP-1.0	1	537710	543354	1	Os01g0110100	1885	1985
Os01t0110200-01	IRGSP-1.0	1	543425	544510	-1	Os01g0110200	0	0
Os01t0110400-01	IRGSP-1.0	1	549157	552574	1	Os01g0110400	3036	1149
Os01t0110500-01	IRGSP-1.0	1	554025	558015	-1	Os01g0110500	45	1
Os01t0110600-00	IRGSP-1.0	1	554334	557257	1	Os01g0110600	0	0
Os01t0110700-01	IRGSP-1.0	1	562088	572092	-1	Os01g0110700	3037	655
Os01t0110800-01	IRGSP-1.0	1	576495	579569	-1	Os01g0110800	106	2
Os01t0111000-00	IRGSP-1.0	1	585876	586445	1	Os01g0111000	0	1460
Os01t0111100-01	IRGSP-1.0	1	586445	587696	-1	Os01g0111100	3038	142
Os01t0111200-01	IRGSP-1.0	1	588917	593714	1	Os01g0111200	0	2876
Os01t0111300-01	IRGSP-1.0	1	597009	597804	1	Os01g0111300	0	0
Os01t0111400-01	IRGSP-1.0	1	598290	601457	1	Os01g0111400	0	50
Os01t0111500-01	IRGSP-1.0	1	603643	605643	-1	Os01g0111500	9	8
Os01t0111600-01	IRGSP-1.0	1	612564	615631	1	Os01g0111600	74	214
Os01t0111700-01	IRGSP-1.0	1	620572	621516	-1	Os01g0111700	427	764
Os01t0111800-02	IRGSP-1.0	1	624123	624759	1	Os01g0111800	0	0
Os01t0111900-01	IRGSP-1.0	1	625986	627009	1	Os01g0111900	0	0
Os01t0112000-01	IRGSP-1.0	1	632139	632790	1	Os01g0112000	0	0
Os01t0112100-01	IRGSP-1.0	1	635325	639015	-1	Os01g0112100	0	0
Os01t0112201-01	IRGSP-1.0	1	637962	639060	1	Os01g0112201	0	0
Os01t0112300-01	IRGSP-1.0	1	640698	644217	-1	Os01g0112300	1878	912
Os01t0112400-01	IRGSP-1.0	1	645598	646722	-1	Os01g0112400	1286	67
Os01t0112500-01	IRGSP-1.0	1	648288	651869	-1	Os01g0112500	0	29
Os01t0112600-01	IRGSP-1.0	1	677029	677602	1	Os01g0112600	0	0
Os01t0112800-00	IRGSP-1.0	1	689788	693923	1	Os01g0112800	3039	18
Os01t0113000-00	IRGSP-1.0	1	700533	706399	-1	Os01g0113000	1886	1986
Os01t0113150-00	IRGSP-1.0	1	710956	714232	1	Os01g0113150	3039	18
Os01t0113200-01	IRGSP-1.0	1	720673	723317	-1	Os01g0113200	11	1
Os01t0113300-01	IRGSP-1.0	1	723693	726099	1	Os01g0113300	11	1
Os01t0113325-00	IRGSP-1.0	1	723736	725885	-1	Os01g0113325	0	656
Os01t0113350-00	IRGSP-1.0	1	728968	731172	1	Os01g0113350	63	1
Os01t0113400-02	IRGSP-1.0	1	731150	732538	-1	Os01g0113400	11	1
Os01t0113450-00	IRGSP-1.0	1	731489	733719	1	Os01g0113450	0	2879
Os01t0113500-01	IRGSP-1.0	1	734071	737556	1	Os01g0113500	11	1
Os01t0113600-01	IRGSP-1.0	1	738283	741797	-1	Os01g0113600	0	0
Os01t0113650-00	IRGSP-1.0	1	738908	740898	1	Os01g0113650	63	1
Os01t0113700-00	IRGSP-1.0	1	742860	745177	-1	Os01g0113700	11	1
Os01t0113800-01	IRGSP-1.0	1	745452	748945	1	Os01g0113800	11	1
Os01t0113900-01	IRGSP-1.0	1	752080	754992	-1	Os01g0113900	11	1
Os01t0113950-00	IRGSP-1.0	1	752189	754829	1	Os01g0113950	0	0
Os01t0114000-00	IRGSP-1.0	1	756221	756901	-1	Os01g0114000	12	55
Os01t0114100-01	IRGSP-1.0	1	767181	769673	-1	Os01g0114100	11	1
Os01t0114200-01	IRGSP-1.0	1	770284	774374	-1	Os01g0114200	3040	2881
Os01t0114300-01	IRGSP-1.0	1	770332	773829	1	Os01g0114300	0	0
Os01t0114400-00	IRGSP-1.0	1	774727	775743	-1	Os01g0114400	11	1
Os01t0114402-00	IRGSP-1.0	1	774848	779158	1	Os01g0114402	542	656
Os01t0114600-00	IRGSP-1.0	1	786373	788619	-1	Os01g0114600	11	1
Os01t0114700-00	IRGSP-1.0	1	789714	792435	1	Os01g0114700	11	1
Os01t0114800-01	IRGSP-1.0	1	792455	796419	-1	Os01g0114800	0	296
Os01t0114900-00	IRGSP-1.0	1	794499	795413	1	Os01g0114900	11	1
Os01t0115100-01	IRGSP-1.0	1	804097	806932	-1	Os01g0115100	3041	2882
Os01t0115300-01	IRGSP-1.0	1	808174	810139	-1	Os01g0115300	0	0
Os01t0115200-00	IRGSP-1.0	1	808373	808859	1	Os01g0115200	181	298
Os01t0115500-00	IRGSP-1.0	1	839809	840828	-1	Os01g0115500	11	1
Os01t0115566-00	IRGSP-1.0	1	842002	842757	-1	Os01g0115566	11	1
Os01t0115600-01	IRGSP-1.0	1	843530	847399	1	Os01g0115600	11	1
Os01t0115700-00	IRGSP-1.0	1	852249	854568	-1	Os01g0115700	11	1
Os01t0115725-00	IRGSP-1.0	1	852275	854570	1	Os01g0115725	0	2879
Os01t0115750-00	IRGSP-1.0	1	857897	860583	-1	Os01g0115750	11	1
Os01t0115800-01	IRGSP-1.0	1	862579	865249	-1	Os01g0115800	11	1
Os01t0115950-00	IRGSP-1.0	1	863115	865183	1	Os01g0115950	3042	2883
Os01t0116100-01	IRGSP-1.0	1	865786	869533	-1	Os01g0116100	3040	2881
Os01t0115900-00	IRGSP-1.0	1	865938	869298	1	Os01g0115900	11	1
Os01t0116000-00	IRGSP-1.0	1	872458	874817	-1	Os01g0116000	11	1
Os01t0116101-00	IRGSP-1.0	1	872509	874697	1	Os01g0116101	3042	2883
Os01t0116200-01	IRGSP-1.0	1	911735	914246	-1	Os01g0116200	11	1
Os01t0116250-00	IRGSP-1.0	1	911978	914143	1	Os01g0116250	542	656
Os01t0116300-01	IRGSP-1.0	1	915605	917636	1	Os01g0116300	11	1
Os01t0116400-01	IRGSP-1.0	1	921078	923630	-1	Os01g0116400	11	1
Os01t0116650-00	IRGSP-1.0	1	921296	923591	1	Os01g0116650	542	656
Os01t0116900-00	IRGSP-1.0	1	924451	956639	1	Os01g0116900	11	1
Os01t0116600-01	IRGSP-1.0	1	929884	934458	-1	Os01g0116600	3043	421
Os01t0116800-00	IRGSP-1.0	1	935574	936704	-1	Os01g0116800	11	1
Os01t0116901-00	IRGSP-1.0	1	935618	938250	1	Os01g0116901	542	656
Os01t0117000-00	IRGSP-1.0	1	957907	960626	-1	Os01g0117000	11	1
Os01t0117025-00	IRGSP-1.0	1	957952	960545	1	Os01g0117025	542	656
Os01t0117100-00	IRGSP-1.0	1	961799	965151	1	Os01g0117100	11	1
Os01t0117200-01	IRGSP-1.0	1	969340	973327	-1	Os01g0117200	11	1
Os01t0117266-00	IRGSP-1.0	1	976766	977218	1	Os01g0117266	11	1
Os01t0117300-00	IRGSP-1.0	1	979238	980546	1	Os01g0117300	11	1
Os01t0117400-00	IRGSP-1.0	1	984510	985133	-1	Os01g0117400	11	1
Os01t0117450-00	IRGSP-1.0	1	984536	986741	1	Os01g0117450	542	656
Os01t0117500-00	IRGSP-1.0	1	987676	990745	1	Os01g0117500	11	1
Os01t0117600-01	IRGSP-1.0	1	994712	997262	-1	Os01g0117600	11	1
Os01t0117650-00	IRGSP-1.0	1	994955	997150	1	Os01g0117650	542	656
Os01t0117700-00	IRGSP-1.0	1	997918	1000997	1	Os01g0117700	11	1
Os01t0117900-01	IRGSP-1.0	1	1010259	1011841	1	Os01g0117900	1288	44
Os01t0118000-01	IRGSP-1.0	1	1016065	1019435	1	Os01g0118000	428	659
Os01t0118100-01	IRGSP-1.0	1	1024186	1030112	1	Os01g0118100	1887	189
Os01t0118300-01	IRGSP-1.0	1	1046604	1053166	1	Os01g0118300	1289	1468
Os01t0118400-01	IRGSP-1.0	1	1057177	1059852	-1	Os01g0118400	3044	105
Os01t0118600-00	IRGSP-1.0	1	1066678	1069673	-1	Os01g0118600	1888	105
Os01t0118700-01	IRGSP-1.0	1	1071962	1074829	-1	Os01g0118700	3045	105
Os01t0119000-01	IRGSP-1.0	1	1078565	1081597	-1	Os01g0119000	0	105
Os01t0119100-00	IRGSP-1.0	1	1090194	1092825	-1	Os01g0119100	0	105
Os01t0119500-01	IRGSP-1.0	1	1103782	1106890	1	Os01g0119500	1290	1152
Os01t0120300-00	IRGSP-1.0	1	1145920	1153828	-1	Os01g0120300	0	1470
Os01t0120400-02	IRGSP-1.0	1	1155293	1158411	-1	Os01g0120400	0	0
Os01t0120500-01	IRGSP-1.0	1	1160198	1164619	-1	Os01g0120500	3046	2885
Os01t0120600-01	IRGSP-1.0	1	1165737	1168396	1	Os01g0120600	3047	2886
Os01t0120700-01	IRGSP-1.0	1	1168737	1171126	-1	Os01g0120700	0	0
Os01t0120800-01	IRGSP-1.0	1	1171902	1179370	-1	Os01g0120800	0	0
Os01t0121000-01	IRGSP-1.0	1	1181317	1182147	1	Os01g0121000	0	300
Os01t0121100-02	IRGSP-1.0	1	1183466	1186699	1	Os01g0121100	0	2887
Os01t0121200-01	IRGSP-1.0	1	1186667	1191013	-1	Os01g0121200	713	143
Os01t0121300-01	IRGSP-1.0	1	1198687	1203502	-1	Os01g0121300	0	1156
Os01t0121400-00	IRGSP-1.0	1	1198958	1203465	1	Os01g0121400	0	0
Os01t0121500-01	IRGSP-1.0	1	1217319	1218116	-1	Os01g0121500	3048	1992
Os01t0121600-01	IRGSP-1.0	1	1223134	1223887	-1	Os01g0121600	0	1992
Os01t0121700-01	IRGSP-1.0	1	1224012	1230500	-1	Os01g0121700	3049	106
Os01t0121800-01	IRGSP-1.0	1	1232493	1236748	1	Os01g0121800	1292	368
Os01t0121900-00	IRGSP-1.0	1	1238623	1240005	1	Os01g0121900	0	148
Os01t0121950-00	IRGSP-1.0	1	1240943	1242391	1	Os01g0121950	3050	148
Os01t0122000-01	IRGSP-1.0	1	1249881	1251421	1	Os01g0122000	3050	148
Os01t0122200-01	IRGSP-1.0	1	1254028	1255635	1	Os01g0122200	0	148
Os01t0122367-00	IRGSP-1.0	1	1254331	1255339	-1	Os01g0122367	0	0
Os01t0122534-00	IRGSP-1.0	1	1264331	1265206	-1	Os01g0122534	0	0
Os01t0122701-00	IRGSP-1.0	1	1264968	1265273	1	Os01g0122701	0	148
Os01t0123500-00	IRGSP-1.0	1	1328172	1329191	1	Os01g0123500	3051	148
Os01t0123700-00	IRGSP-1.0	1	1333752	1334769	-1	Os01g0123700	3051	148
Os01t0123800-00	IRGSP-1.0	1	1335864	1337407	1	Os01g0123800	0	148
Os01t0123900-01	IRGSP-1.0	1	1338241	1339098	-1	Os01g0123900	544	486
Os01t0124000-01	IRGSP-1.0	1	1341368	1342277	-1	Os01g0124000	544	486
Os01t0124100-01	IRGSP-1.0	1	1345118	1346047	-1	Os01g0124100	544	486
Os01t0124200-02	IRGSP-1.0	1	1347665	1348723	-1	Os01g0124200	544	486
Os01t0124401-01	IRGSP-1.0	1	1353705	1354767	-1	Os01g0124401	544	486
Os01t0124550-00	IRGSP-1.0	1	1356759	1361044	1	Os01g0124550	939	1158
Os01t0124600-00	IRGSP-1.0	1	1363710	1364282	-1	Os01g0124600	544	486
Os01t0124650-02	IRGSP-1.0	1	1365586	1366432	-1	Os01g0124650	544	486
Os01t0124700-01	IRGSP-1.0	1	1365703	1366502	1	Os01g0124700	0	0
Os01t0124900-00	IRGSP-1.0	1	1369191	1374138	1	Os01g0124900	0	148
Os01t0125000-00	IRGSP-1.0	1	1375169	1376327	1	Os01g0125000	0	148
Os01t0125500-00	IRGSP-1.0	1	1395980	1396825	-1	Os01g0125500	3053	148
Os01t0125550-01	IRGSP-1.0	1	1401419	1403419	-1	Os01g0125550	0	0
Os01t0125600-01	IRGSP-1.0	1	1404816	1406889	1	Os01g0125600	1293	56
Os01t0125700-01	IRGSP-1.0	1	1410987	1413093	-1	Os01g0125700	0	0
Os01t0125800-01	IRGSP-1.0	1	1413839	1418982	1	Os01g0125800	0	774
Os01t0125850-00	IRGSP-1.0	1	1413847	1418662	-1	Os01g0125850	0	0
Os01t0125900-01	IRGSP-1.0	1	1421693	1427650	1	Os01g0125900	214	424
Os01t0126000-01	IRGSP-1.0	1	1433755	1434955	-1	Os01g0126000	0	0
Os01t0126100-01	IRGSP-1.0	1	1433996	1436809	1	Os01g0126100	940	922
Os01t0126200-01	IRGSP-1.0	1	1437163	1445599	1	Os01g0126200	940	922
Os01t0126401-01	IRGSP-1.0	1	1445541	1449450	-1	Os01g0126401	0	0
Os01t0126600-01	IRGSP-1.0	1	1446849	1450473	1	Os01g0126600	941	425
Os01t0126900-01	IRGSP-1.0	1	1486400	1488897	1	Os01g0126900	940	922
Os01t0127000-01	IRGSP-1.0	1	1490494	1492684	-1	Os01g0127000	940	922
Os01t0127100-01	IRGSP-1.0	1	1490993	1492680	1	Os01g0127100	0	0
Os01t0127200-01	IRGSP-1.0	1	1497241	1500606	-1	Os01g0127200	940	922
Os01t0127300-01	IRGSP-1.0	1	1504037	1508057	-1	Os01g0127300	0	0
Os01t0127400-00	IRGSP-1.0	1	1508213	1510771	1	Os01g0127400	0	0
Os01t0127450-00	IRGSP-1.0	1	1511964	1512646	1	Os01g0127450	4	13
Os01t0127500-01	IRGSP-1.0	1	1513138	1514432	1	Os01g0127500	64	37
Os01t0127600-01	IRGSP-1.0	1	1515837	1516714	1	Os01g0127600	0	486
Os01t0127700-01	IRGSP-1.0	1	1518247	1521601	1	Os01g0127700	1285	1
Os01t0127900-01	IRGSP-1.0	1	1534135	1539601	1	Os01g0127900	3056	2892
Os01t0128000-01	IRGSP-1.0	1	1549241	1551011	-1	Os01g0128000	4	13
Os01t0128100-01	IRGSP-1.0	1	1562618	1566554	-1	Os01g0128100	1296	1474
Os01t0128200-01	IRGSP-1.0	1	1566147	1569467	1	Os01g0128200	1296	1474
Os01t0128250-01	IRGSP-1.0	1	1567453	1568989	-1	Os01g0128250	0	0
Os01t0128300-00	IRGSP-1.0	1	1569644	1570940	-1	Os01g0128300	0	0
Os01t0128400-01	IRGSP-1.0	1	1571524	1576596	-1	Os01g0128400	0	0
Os01t0128700-01	IRGSP-1.0	1	1597486	1598510	-1	Os01g0128700	0	0
Os01t0128800-01	IRGSP-1.0	1	1598995	1605729	1	Os01g0128800	0	177
Os01t0129200-01	IRGSP-1.0	1	1625159	1626574	1	Os01g0129200	15	26
Os01t0129500-02	IRGSP-1.0	1	1641272	1644151	-1	Os01g0129500	0	1998
Os01t0129550-01	IRGSP-1.0	1	1641526	1642777	1	Os01g0129550	0	0
Os01t0129600-00	IRGSP-1.0	1	1657306	1658388	1	Os01g0129600	715	924
Os01t0129800-01	IRGSP-1.0	1	1670475	1670997	-1	Os01g0129800	339	178
Os01t0130000-02	IRGSP-1.0	1	1673503	1675043	-1	Os01g0130000	716	925
Os01t0130100-01	IRGSP-1.0	1	1673866	1674692	1	Os01g0130100	0	0
Os01t0130200-00	IRGSP-1.0	1	1685427	1685810	-1	Os01g0130200	0	0
Os01t0130400-01	IRGSP-1.0	1	1698203	1703090	1	Os01g0130400	1297	1475
Os01t0130500-01	IRGSP-1.0	1	1700523	1702512	-1	Os01g0130500	1298	1476
Os01t0130900-01	IRGSP-1.0	1	1712137	1712947	-1	Os01g0130900	0	0
Os01t0131250-01	IRGSP-1.0	1	1733867	1738307	-1	Os01g0131250	0	0
Os01t0131300-01	IRGSP-1.0	1	1738868	1739820	1	Os01g0131300	0	0
Os01t0131450-00	IRGSP-1.0	1	1746447	1748328	-1	Os01g0131450	0	0
Os01t0131600-02	IRGSP-1.0	1	1747173	1748544	1	Os01g0131600	0	0
Os01t0131800-01	IRGSP-1.0	1	1754374	1757590	1	Os01g0131800	3058	2894
Os01t0131900-00	IRGSP-1.0	1	1757812	1758730	-1	Os01g0131900	3059	2890
Os01t0132000-01	IRGSP-1.0	1	1760310	1761065	-1	Os01g0132000	3059	2890
Os01t0132050-01	IRGSP-1.0	1	1764784	1770260	-1	Os01g0132050	0	125
Os01t0132100-00	IRGSP-1.0	1	1765373	1768669	1	Os01g0132100	947	123
Os01t0132200-01	IRGSP-1.0	1	1771497	1772410	-1	Os01g0132200	0	0
Os01t0132400-01	IRGSP-1.0	1	1776044	1778105	-1	Os01g0132400	0	0
Os01t0132500-01	IRGSP-1.0	1	1781075	1782386	1	Os01g0132500	1299	490
Os01t0132700-01	IRGSP-1.0	1	1787870	1791456	-1	Os01g0132700	3061	2895
Os01t0132766-01	IRGSP-1.0	1	1801983	1803280	-1	Os01g0132766	15	26
Os01t0132800-01	IRGSP-1.0	1	1813011	1817601	-1	Os01g0132800	949	1162
Os01t0133100-01	IRGSP-1.0	1	1834110	1836549	1	Os01g0133100	0	0
Os01t0133200-01	IRGSP-1.0	1	1838282	1839194	-1	Os01g0133200	546	2000
Os01t0133400-01	IRGSP-1.0	1	1844263	1849102	1	Os01g0133400	0	68
Os01t0133500-01	IRGSP-1.0	1	1849887	1856251	1	Os01g0133500	0	0
Os01t0133600-00	IRGSP-1.0	1	1857083	1858534	1	Os01g0133600	218	164
Os01t0133650-00	IRGSP-1.0	1	1857805	1858452	-1	Os01g0133650	3062	2896
Os01t0133700-00	IRGSP-1.0	1	1865027	1866109	1	Os01g0133700	218	164
Os01t0133799-00	IRGSP-1.0	1	1865455	1866126	-1	Os01g0133799	3062	2896
Os01t0133832-00	IRGSP-1.0	1	1868093	1868762	-1	Os01g0133832	1894	577
Os01t0133866-00	IRGSP-1.0	1	1869486	1870071	-1	Os01g0133866	0	0
Os01t0133900-00	IRGSP-1.0	1	1869773	1870408	1	Os01g0133900	149	2
Os01t0134200-01	IRGSP-1.0	1	1876913	1879901	1	Os01g0134200	0	1163
Os01t0134500-01	IRGSP-1.0	1	1888525	1892262	1	Os01g0134500	0	776
Os01t0134700-01	IRGSP-1.0	1	1902741	1904902	1	Os01g0134700	0	149
Os01t0134800-01	IRGSP-1.0	1	1906717	1908131	-1	Os01g0134800	430	271
Os01t0134850-00	IRGSP-1.0	1	1906985	1909022	1	Os01g0134850	0	0
Os01t0134900-01	IRGSP-1.0	1	1912561	1915094	-1	Os01g0134900	430	271
Os01t0135000-01	IRGSP-1.0	1	1914497	1916083	1	Os01g0135000	0	248
Os01t0135600-01	IRGSP-1.0	1	1928167	1930288	1	Os01g0135600	0	0
Os01t0135700-01	IRGSP-1.0	1	1931016	1931904	-1	Os01g0135700	547	7
Os01t0135800-01	IRGSP-1.0	1	1934117	1934924	1	Os01g0135800	184	90
Os01t0135900-01	IRGSP-1.0	1	1941012	1941851	1	Os01g0135900	184	90
Os01t0136000-00	IRGSP-1.0	1	1944276	1944948	-1	Os01g0136000	184	90
Os01t0136050-00	IRGSP-1.0	1	1944426	1944968	1	Os01g0136050	1300	1480
Os01t0136100-01	IRGSP-1.0	1	1948773	1949587	-1	Os01g0136100	184	90
Os01t0136200-01	IRGSP-1.0	1	1951930	1952681	1	Os01g0136200	184	90
Os01t0136300-01	IRGSP-1.0	1	1955181	1955914	-1	Os01g0136300	0	0
Os01t0136400-01	IRGSP-1.0	1	1957847	1967451	-1	Os01g0136400	714	1
Os01t0136450-00	IRGSP-1.0	1	1961587	1962403	-1	Os01g0136450	3064	2005
Os01t0136500-00	IRGSP-1.0	1	1962884	1963627	-1	Os01g0136500	0	2005
Os01t0136502-00	IRGSP-1.0	1	1966504	1967491	1	Os01g0136502	3065	2898
Os01t0136600-01	IRGSP-1.0	1	1970071	1970782	1	Os01g0136600	3066	2899
Os01t0136700-01	IRGSP-1.0	1	1971228	1975465	-1	Os01g0136700	3067	1987
Os01t0136800-01	IRGSP-1.0	1	1977423	1982484	-1	Os01g0136800	714	1
Os01t0136850-00	IRGSP-1.0	1	1977659	1982249	1	Os01g0136850	548	78
Os01t0136900-00	IRGSP-1.0	1	1984267	1986150	1	Os01g0136900	11	1
Os01t0137400-00	IRGSP-1.0	1	1988716	2003083	1	Os01g0137400	11	1
Os01t0137125-00	IRGSP-1.0	1	1988797	1996845	-1	Os01g0137125	0	0
Os01t0137200-00	IRGSP-1.0	1	1993553	1994320	1	Os01g0137200	3064	2005
Os01t0137250-00	IRGSP-1.0	1	1995550	1996857	1	Os01g0137250	11	1
Os01t0137266-00	IRGSP-1.0	1	1998852	1999549	-1	Os01g0137266	0	0
Os01t0137282-00	IRGSP-1.0	1	1998872	1999654	1	Os01g0137282	0	1987
Os01t0137300-01	IRGSP-1.0	1	2000724	2003913	-1	Os01g0137300	0	0
Os01t0137500-01	IRGSP-1.0	1	2014791	2018248	1	Os01g0137500	11	1
Os01t0137550-01	IRGSP-1.0	1	2015899	2018829	-1	Os01g0137550	1287	658
Os01t0137700-01	IRGSP-1.0	1	2023879	2026177	1	Os01g0137700	3067	1987
Os01t0137950-01	IRGSP-1.0	1	2037202	2038198	1	Os01g0137950	11	1
Os01t0138000-00	IRGSP-1.0	1	2042088	2042762	-1	Os01g0138000	0	0
Os01t0138100-01	IRGSP-1.0	1	2046146	2053048	-1	Os01g0138100	3068	296
