chromosome	family	start	end	size	genes
2	1232	6644227	6649777	2	Os02g0219000,Os02g0219050
2	1254	6716992	6724318	2	Os02g0220500,Os02g0220600
2	2	7164809	7187287	4	Os02g0227600,Os02g0227700,Os02g0227900,Os02g0228000
2	11	7751287	7771054	3	Os02g0236600,Os02g0236800,Os02g0237000
2	11	7938411	7949997	2	Os02g0240100,Os02g0240300
2	5	8033812	8053519	2	Os02g0242100,Os02g0242550
2	5	8076332	8093845	2	Os02g0242900,Os02g0243300
2	394	8256456	8261809	2	Os02g0245900,Os02g0246101
2	4	8367222	8384118	2	Os02g0248100,Os02g0248200
2	290	8401328	8408682	2	Os02g0248800,Os02g0249000
2	4	8416954	8423702	2	Os02g0249200,Os02g0249300
2	290	8458664	8467035	2	Os02g0249800,Os02g0249900
2	679	8539273	8542125	2	Os02g0251800,Os02g0251900
2	18	9142458	9290817	5	Os02g0261400,Os02g0261800,Os02g0262600,Os02g0262800,Os02g0263432
2	290	9580486	9587998	2	Os02g0268100,Os02g0268300
2	23	9757895	9829343	4	Os02g0270800,Os02g0270900,Os02g0271000,Os02g0271600
2	3554	10135285	10155192	2	Os02g0276200,Os02g0276400
2	18	10447151	10508541	2	Os02g0281200,Os02g0282000
2	1	10634660	10679056	2	Os02g0283800,Os02g0284300
2	53	10854309	10859012	2	Os02g0287800,Os02g0287900
2	341	11015828	11059975	2	Os02g0291000,Os02g0291400
2	33	11071696	11120334	2	Os02g0291600,Os02g0292600
2	970	11209135	11294043	2	Os02g0294700,Os02g0295700
2	678	11716855	11731398	2	Os02g0302200,Os02g0302450
2	215	12065293	12079958	2	Os02g0307400,Os02g0307700
2	126	12113907	12129233	2	Os02g0308400,Os02g0308800
2	20	12143096	12154677	2	Os02g0309200,Os02g0309500
2	20	12191527	12219582	2	Os02g0310500,Os02g0311150
2	496	12650106	12657291	2	Os02g0318200,Os02g0318400
2	81	12664725	12680627	3	Os02g0318450,Os02g0318500,Os02g0318600
2	718	15044721	15059599	2	Os02g0454500,Os02g0454700
2	60	15130358	15134819	2	Os02g0455800,Os02g0455900
2	87	16082576	16091031	2	Os02g0472500,Os02g0472566
2	341	16503646	16534304	2	Os02g0480466,Os02g0480800
2	163	16678288	16703949	3	Os02g0483500,Os02g0483800,Os02g0484200
2	163	16750745	16807323	2	Os02g0485000,Os02g0485800
2	52	17165188	17175893	3	Os02g0491600,Os02g0491700,Os02g0491800
2	41	17183488	17204516	2	Os02g0491900,Os02g0492000
2	41	17245021	17265927	2	Os02g0492900,Os02g0493050
2	41	17277320	17335567	3	Os02g0493300,Os02g0494000,Os02g0494400
2	6	17676359	17678224	2	Os02g0500700,Os02g0502300
2	6	17862192	17886285	5	Os02g0503700,Os02g0503800,Os02g0503850,Os02g0503900,Os02g0504000
2	367	18181861	18211991	2	Os02g0508801,Os02g0509500
2	668	18277595	18310133	2	Os02g0511100,Os02g0511400
2	743	19011509	19020302	2	Os02g0521500,Os02g0521600
2	185	19039879	19050754	2	Os02g0522100,Os02g0522300
2	743	19058884	19072348	2	Os02g0522700,Os02g0522800
2	1359	19834281	19838827	2	Os02g0537000,Os02g0537100
2	4	21295214	21308677	2	Os02g0561800,Os02g0561900
2	6	21662608	21741960	3	Os02g0569000,Os02g0569400,Os02g0569900
2	262	21853581	21897686	2	Os02g0571300,Os02g0571800
2	4	21917368	21926203	2	Os02g0572200,Os02g0572300
2	89	22010746	22017622	2	Os02g0574000,Os02g0574100
2	276	22311834	22321276	2	Os02g0579800,Os02g0580000
2	386	22468206	22475689	2	Os02g0582600,Os02g0582800
2	2490	22509550	22531379	2	Os02g0583700,Os02g0584200
2	386	22550855	22554242	2	Os02g0584700,Os02g0584800
2	386	22558881	22562946	2	Os02g0585100,Os02g0585200
2	3643	22572570	22580613	2	Os02g0585700,Os02g0586000
2	3644	22622384	22627180	2	Os02g0586900,Os02g0587000
2	354	22722799	22726713	2	Os02g0589000,Os02g0589100
2	354	22757091	22808493	5	Os02g0589700,Os02g0589900,Os02g0590000,Os02g0590200,Os02g0590400
2	1809	23069835	23085477	2	Os02g0594900,Os02g0595100
2	191	23209707	23219912	2	Os02g0597200,Os02g0597300
2	140	23386353	23404718	2	Os02g0599151,Os02g0599200
2	816	23688585	23712446	4	Os02g0604600,Os02g0604700,Os02g0604800,Os02g0605000
2	816	23784761	23812868	3	Os02g0607000,Os02g0607100,Os02g0607400
2	1814	23885640	23890742	2	Os02g0608550,Os02g0608600
2	2	23952926	23967661	2	Os02g0609900,Os02g0610000
2	2	24293057	24374397	5	Os02g0614966,Os02g0615400,Os02g0615500,Os02g0615800,Os02g0616100
2	2498	24683711	24692425	2	Os02g0620533,Os02g0620566
2	1	24871746	24874196	2	Os02g0623932,Os02g0624100
2	477	24973448	24989388	2	Os02g0626100,Os02g0626400
2	477	24993130	25009018	2	Os02g0626600,Os02g0627100
2	942	25411509	25415658	2	Os02g0633700,Os02g0633900
2	3678	25459520	25469526	2	Os02g0635000,Os02g0635200
2	476	25523466	25529056	2	Os02g0636600,Os02g0636700
2	182	26171617	26202104	2	Os02g0649900,Os02g0650300
2	1030	26381932	26389528	2	Os02g0654000,Os02g0654100
2	9	26524619	26552002	2	Os02g0656600,Os02g0657000
2	293	26579595	26582533	2	Os02g0657775,Os02g0657850
2	26	26668796	26690900	2	Os02g0659100,Os02g0659500
2	76	26804988	26815393	2	Os02g0662000,Os02g0662100
2	1686	27092039	27098562	2	Os02g0667100,Os02g0667300
2	33	27156852	27162721	2	Os02g0668900,Os02g0669000
2	511	27386926	27394188	2	Os02g0673000,Os02g0673100
2	9	27621222	27654206	2	Os02g0676800,Os02g0677300
2	103	28132758	28154410	3	Os02g0686700,Os02g0686800,Os02g0687200
2	1067	28532904	28548337	3	Os02g0694400,Os02g0694600,Os02g0694700
2	540	28582125	28587965	2	Os02g0695800,Os02g0695900
2	27	29890269	29894313	2	Os02g0720500,Os02g0720600
2	82	29919262	29923177	2	Os02g0721100,Os02g0721200
2	401	30164300	30192488	2	Os02g0725700,Os02g0725900
2	138	30343011	30347793	2	Os02g0729100,Os02g0729200
2	559	30631324	30654596	3	Os02g0734400,Os02g0734500,Os02g0734600
2	1394	30775901	30785350	3	Os02g0737200,Os02g0737300,Os02g0737401
2	3159	30787801	30799746	2	Os02g0737950,Os02g0738100
2	45	31120649	31129535	2	Os02g0742800,Os02g0742900
2	225	31521135	31524806	2	Os02g0749800,Os02g0749900
2	5	31787348	31807800	3	Os02g0755500,Os02g0755600,Os02g0755900
2	391	31824134	31841768	3	Os02g0756200,Os02g0756600,Os02g0756800
2	2264	32088131	32093988	2	Os02g0761900,Os02g0762100
2	199	32177755	32187390	2	Os02g0763800,Os02g0763900
2	199	32191250	32199486	2	Os02g0764200,Os02g0764400
2	528	32243175	32250174	2	Os02g0765400,Os02g0765600
2	38	32454551	32462832	2	Os02g0769700,Os02g0769800
2	23	32976864	32987749	3	Os02g0778900,Os02g0779000,Os02g0779200
2	694	33324540	33336168	2	Os02g0785000,Os02g0785200
2	575	33361926	33380829	2	Os02g0785900,Os02g0786000
2	87	33408020	33427781	3	Os02g0786500,Os02g0786900,Os02g0787000
2	14	33491615	33495763	2	Os02g0788300,Os02g0788400
2	127	33821223	33828267	2	Os02g0795666,Os02g0795732
2	1587	33843885	33847806	2	Os02g0796000,Os02g0796100
2	560	33982930	33987712	2	Os02g0798400,Os02g0798501
2	504	34009244	34017287	2	Os02g0798800,Os02g0798900
2	634	34053182	34059033	2	Os02g0799600,Os02g0799700
2	560	34081775	34085028	2	Os02g0800300,Os02g0800400
2	560	34133450	34139283	3	Os02g0800900,Os02g0801000,Os02g0801100
2	1	34509523	34519474	2	Os02g0807800,Os02g0807900
2	1	34531556	34553608	2	Os02g0808100,Os02g0808300
2	269	34794245	34825820	6	Os02g0812500,Os02g0812600,Os02g0812700,Os02g0813000,Os02g0813083,Os02g0813166
2	1732	34900421	34903148	2	Os02g0814300,Os02g0814400
2	56	35130674	35135089	2	Os02g0818900,Os02g0819000
2	274	35534139	35536130	2	Os02g0826675,Os02g0826700
2	3785	35660775	35671730	2	Os02g0829500,Os02g0829600
2	208	35790162	35804494	2	Os02g0832400,Os02g0832500
3	1383	152781	169983	3	Os03g0102300,Os03g0102333,Os03g0102366
3	76	208340	220919	3	Os03g0103100,Os03g0103200,Os03g0103300
3	584	272404	274762	2	Os03g0103950,Os03g0104000
3	183	391571	398440	2	Os03g0106700,Os03g0106800
3	357	922684	926283	2	Os03g0116300,Os03g0116316
3	1	1406065	1411723	2	Os03g0124200,Os03g0124300
3	2580	1567984	1575496	2	Os03g0127900,Os03g0127950
3	208	1582250	1602046	2	Os03g0128100,Os03g0128200
3	206	1952302	1955959	2	Os03g0135200,Os03g0135300
3	71	2170144	2213793	3	Os03g0139600,Os03g0140100,Os03g0140200
3	3071	2302598	2331600	2	Os03g0141800,Os03g0142200
3	360	2466460	2473021	2	Os03g0144300,Os03g0144500
3	1624	2609710	2615443	2	Os03g0146900,Os03g0147001
3	131	2723037	2727559	2	Os03g0149000,Os03g0149100
3	4	2771187	2777769	2	Os03g0149700,Os03g0149800
3	512	2833133	2840929	2	Os03g0151300,Os03g0151400
3	229	2951457	2967286	4	Os03g0153500,Os03g0153900,Os03g0154000,Os03g0154100
3	73	2998855	3004537	2	Os03g0155300,Os03g0155500
3	73	3006419	3037894	4	Os03g0155700,Os03g0155900,Os03g0156000,Os03g0156300
3	3826	3444764	3453008	2	Os03g0163600,Os03g0163900
3	335	3567173	3571828	2	Os03g0166100,Os03g0166200
