family	seqid1	sequid2
1	Os01t0212700-01	Os08t0484200-01
1	Os01t0212700-01	Os08t0492500-01
1	Os01t0212700-01	Os08t0526350-00
1	Os01t0212700-01	Os08t0550400-01
1	Os01t0212700-01	Os08t0563500-00
1	Os01t0212700-01	Os09t0243200-01
1	Os01t0212700-01	Os09t0298500-01
1	Os01t0212700-01	Os09t0376700-01
1	Os01t0212700-01	Os09t0468300-00
1	Os01t0212700-01	Os09t0468800-00
1	Os01t0212700-01	Os09t0478600-01
1	Os01t0212700-01	Os09t0535500-01
1	Os01t0212700-01	Os09t0542600-01
1	Os01t0212700-01	Os09t0554200-01
1	Os01t0212700-01	Os10t0438800-01
1	Os01t0212700-01	Os10t0544600-02
1	Os01t0212700-01	Os10t0546900-00
1	Os01t0212700-01	Os10t0566400-01
1	Os01t0212700-01	Os10t0574400-01
1	Os01t0212700-01	Os11t0113900-00
1	Os01t0212700-01	Os11t0146750-00
1	Os01t0212700-01	Os11t0150450-01
1	Os01t0212700-01	Os11t0582100-01
1	Os01t0212700-01	Os11t0610600-00
1	Os01t0212700-01	Os11t0649801-00
1	Os01t0212700-01	Os12t0108350-00
1	Os01t0212700-01	Os12t0113700-00
1	Os01t0212700-01	Os12t0113800-00
1	Os01t0212700-01	Os12t0134500-00
1	Os01t0212700-01	Os12t0135300-00
1	Os01t0212700-01	Os12t0140200-00
1	Os01t0212700-01	Os12t0140700-01
1	Os01t0212700-01	Os12t0143750-01
1	Os01t0212700-01	Os12t0146000-00
1	Os01t0212700-01	Os12t0149100-01
1	Os01t0212700-01	Os12t0432600-01
1	Os01t0212700-01	Os12t0580700-01
1	Os01t0212700-01	Os12t0620100-00
1	Os01t0213100-00	Os01t0213400-01
1	Os01t0213100-00	Os01t0266100-01
1	Os01t0213100-00	Os01t0311100-00
1	Os01t0213100-00	Os01t0311400-00
1	Os01t0213100-00	Os01t0673900-01
1	Os01t0213100-00	Os01t0690333-00
1	Os01t0213100-00	Os01t0755700-01
1	Os01t0213100-00	Os01t0822800-01
1	Os01t0213100-00	Os01t0830900-00
1	Os01t0213100-00	Os01t0844700-00
1	Os01t0213100-00	Os01t0866000-01
1	Os01t0213100-00	Os01t0977600-02
1	Os01t0213100-00	Os02t0106600-01
1	Os01t0213100-00	Os02t0178600-01
1	Os01t0213100-00	Os02t0191500-01
1	Os01t0213100-00	Os02t0248100-00
1	Os01t0213100-00	Os02t0248200-00
1	Os01t0213100-00	Os02t0248440-00
1	Os01t0213100-00	Os02t0249200-00
1	Os01t0213100-00	Os02t0249300-00
1	Os01t0213100-00	Os02t0475101-00
1	Os01t0213100-00	Os02t0528000-00
1	Os01t0213100-00	Os02t0541500-00
1	Os01t0213100-00	Os02t0559800-01
1	Os01t0213100-00	Os02t0560200-01
1	Os01t0213100-00	Os02t0560600-01
1	Os01t0213100-00	Os02t0561000-01
1	Os01t0213100-00	Os02t0561400-01
1	Os01t0213100-00	Os02t0561800-01
1	Os01t0213100-00	Os02t0561900-00
1	Os01t0213100-00	Os02t0572200-01
1	Os01t0213100-00	Os02t0572300-00
1	Os01t0213100-00	Os02t0645000-01
1	Os01t0213100-00	Os02t0681200-01
1	Os01t0213100-00	Os02t0682300-01
1	Os01t0213100-00	Os02t0686100-00
1	Os01t0213100-00	Os02t0692000-01
1	Os01t0213100-00	Os02t0730050-00
1	Os01t0213100-00	Os02t0743100-00
1	Os01t0213100-00	Os02t0743700-03
1	Os01t0213100-00	Os02t0759400-01
1	Os01t0213100-00	Os02t0790600-01
1	Os01t0213100-00	Os02t0798200-01
1	Os01t0213100-00	Os02t0820200-01
1	Os01t0213100-00	Os02t0832150-00
1	Os01t0213100-00	Os03t0149700-00
1	Os01t0213100-00	Os03t0149800-01
1	Os01t0213100-00	Os03t0188200-01
1	Os01t0213100-00	Os03t0206900-01
1	Os01t0213100-00	Os03t0272300-01
1	Os01t0213100-00	Os03t0340100-00
1	Os01t0213100-00	Os03t0377600-01
1	Os01t0213100-00	Os03t0391100-00
1	Os01t0213100-00	Os03t0398600-00
1	Os01t0213100-00	Os03t0648600-00
1	Os01t0213100-00	Os03t0788100-01
1	Os01t0213100-00	Os04t0101800-01
1	Os01t0213100-00	Os04t0243700-01
1	Os01t0213100-00	Os04t0419550-01
1	Os01t0213100-00	Os04t0450300-00
1	Os01t0213100-00	Os04t0450400-01
1	Os01t0213100-00	Os04t0487400-00
1	Os01t0213100-00	Os04t0511600-01
1	Os01t0213100-00	Os04t0579200-01
1	Os01t0213100-00	Os04t0580800-01
1	Os01t0213100-00	Os04t0585000-01
1	Os01t0213100-00	Os04t0586700-01
1	Os01t0213100-00	Os04t0590900-01
1	Os01t0213100-00	Os05t0145000-01
1	Os01t0213100-00	Os05t0164200-01
1	Os01t0213100-00	Os05t0352750-00
1	Os01t0213100-00	Os05t0359500-00
1	Os01t0213100-00	Os05t0360400-01
1	Os01t0213100-00	Os05t0408800-00
1	Os01t0213100-00	Os05t0439000-01
1	Os01t0213100-00	Os05t0468900-01
1	Os01t0213100-00	Os05t0478000-01
1	Os01t0213100-00	Os05t0596500-01
1	Os01t0213100-00	Os06t0109100-00
1	Os01t0213100-00	Os06t0167200-01
1	Os01t0213100-00	Os06t0187300-00
1	Os01t0213100-00	Os06t0192800-01
1	Os01t0213100-00	Os06t0218300-01
1	Os01t0213100-00	Os06t0231600-01
1	Os01t0213100-00	Os06t0233200-01
1	Os01t0213100-00	Os06t0271600-00
1	Os01t0213100-00	Os06t0534500-00
1	Os01t0213100-00	Os06t0534800-02
1	Os01t0213100-00	Os06t0534900-00
1	Os01t0213100-00	Os06t0534950-00
1	Os01t0213100-00	Os06t0535200-01
1	Os01t0213100-00	Os06t0535400-01
1	Os01t0213100-00	Os06t0535900-01
1	Os01t0213100-00	Os06t0536100-00
1	Os01t0213100-00	Os06t0536600-00
1	Os01t0213100-00	Os06t0537300-00
1	Os01t0213100-00	Os06t0537500-00
1	Os01t0213100-00	Os06t0537600-01
1	Os01t0213100-00	Os06t0540050-00
1	Os01t0213100-00	Os06t0540200-00
1	Os01t0213100-00	Os06t0666500-00
1	Os01t0213100-00	Os06t0695900-01
1	Os01t0213100-00	Os06t0717600-02
1	Os01t0213100-00	Os07t0159600-00
1	Os01t0213100-00	Os07t0194675-00
1	Os01t0213100-00	Os07t0421800-01
1	Os01t0213100-00	Os07t0479100-02
1	Os01t0213100-00	Os07t0484300-01
1	Os01t0213100-00	Os07t0631200-01
1	Os01t0213100-00	Os07t0686300-01
1	Os01t0213100-00	Os08t0157400-01
1	Os01t0213100-00	Os08t0445000-01
1	Os01t0213100-00	Os08t0484200-01
1	Os01t0213100-00	Os08t0492500-01
1	Os01t0213100-00	Os08t0526350-00
1	Os01t0213100-00	Os08t0550400-01
1	Os01t0213100-00	Os08t0563500-00
1	Os01t0213100-00	Os09t0243200-01
1	Os01t0213100-00	Os09t0298500-01
1	Os01t0213100-00	Os09t0376700-01
1	Os01t0213100-00	Os09t0468300-00
1	Os01t0213100-00	Os09t0468800-00
1	Os01t0213100-00	Os09t0478600-01
1	Os01t0213100-00	Os09t0535500-01
1	Os01t0213100-00	Os09t0542600-01
1	Os01t0213100-00	Os09t0554200-01
1	Os01t0213100-00	Os10t0438800-01
1	Os01t0213100-00	Os10t0544600-02
1	Os01t0213100-00	Os10t0546900-00
1	Os01t0213100-00	Os10t0566400-01
1	Os01t0213100-00	Os10t0574400-01
1	Os01t0213100-00	Os11t0113900-00
1	Os01t0213100-00	Os11t0146750-00
1	Os01t0213100-00	Os11t0150450-01
1	Os01t0213100-00	Os11t0582100-01
1	Os01t0213100-00	Os11t0610600-00
1	Os01t0213100-00	Os11t0649801-00
1	Os01t0213100-00	Os12t0108350-00
1	Os01t0213100-00	Os12t0113700-00
1	Os01t0213100-00	Os12t0113800-00
1	Os01t0213100-00	Os12t0134500-00
1	Os01t0213100-00	Os12t0135300-00
1	Os01t0213100-00	Os12t0140200-00
1	Os01t0213100-00	Os12t0140700-01
1	Os01t0213100-00	Os12t0143750-01
1	Os01t0213100-00	Os12t0146000-00
1	Os01t0213100-00	Os12t0149100-01
1	Os01t0213100-00	Os12t0432600-01
1	Os01t0213100-00	Os12t0580700-01
1	Os01t0213100-00	Os12t0620100-00
1	Os01t0213400-01	Os01t0266100-01
1	Os01t0213400-01	Os01t0311100-00
1	Os01t0213400-01	Os01t0311400-00
1	Os01t0213400-01	Os01t0673900-01
1	Os01t0213400-01	Os01t0690333-00
1	Os01t0213400-01	Os01t0755700-01
1	Os01t0213400-01	Os01t0822800-01
1	Os01t0213400-01	Os01t0830900-00
1	Os01t0213400-01	Os01t0844700-00
1	Os01t0213400-01	Os01t0866000-01
1	Os01t0213400-01	Os01t0977600-02
1	Os01t0213400-01	Os02t0106600-01
1	Os01t0213400-01	Os02t0178600-01
1	Os01t0213400-01	Os02t0191500-01
1	Os01t0213400-01	Os02t0248100-00
1	Os01t0213400-01	Os02t0248200-00
1	Os01t0213400-01	Os02t0248440-00
1	Os01t0213400-01	Os02t0249200-00
1	Os01t0213400-01	Os02t0249300-00
1	Os01t0213400-01	Os02t0475101-00
1	Os01t0213400-01	Os02t0528000-00
1	Os01t0213400-01	Os02t0541500-00
1	Os01t0213400-01	Os02t0559800-01
1	Os01t0213400-01	Os02t0560200-01
1	Os01t0213400-01	Os02t0560600-01
1	Os01t0213400-01	Os02t0561000-01
1	Os01t0213400-01	Os02t0561400-01
1	Os01t0213400-01	Os02t0561800-01
1	Os01t0213400-01	Os02t0561900-00
1	Os01t0213400-01	Os02t0572200-01
1	Os01t0213400-01	Os02t0572300-00
1	Os01t0213400-01	Os02t0645000-01
1	Os01t0213400-01	Os02t0681200-01
1	Os01t0213400-01	Os02t0682300-01
1	Os01t0213400-01	Os02t0686100-00
1	Os01t0213400-01	Os02t0692000-01
1	Os01t0213400-01	Os02t0730050-00
1	Os01t0213400-01	Os02t0743100-00
1	Os01t0213400-01	Os02t0743700-03
1	Os01t0213400-01	Os02t0759400-01
1	Os01t0213400-01	Os02t0790600-01
1	Os01t0213400-01	Os02t0798200-01
1	Os01t0213400-01	Os02t0820200-01
1	Os01t0213400-01	Os02t0832150-00
1	Os01t0213400-01	Os03t0149700-00
1	Os01t0213400-01	Os03t0149800-01
1	Os01t0213400-01	Os03t0188200-01
1	Os01t0213400-01	Os03t0206900-01
1	Os01t0213400-01	Os03t0272300-01
1	Os01t0213400-01	Os03t0340100-00
1	Os01t0213400-01	Os03t0377600-01
1	Os01t0213400-01	Os03t0391100-00
1	Os01t0213400-01	Os03t0398600-00
1	Os01t0213400-01	Os03t0648600-00
1	Os01t0213400-01	Os03t0788100-01
1	Os01t0213400-01	Os04t0101800-01
1	Os01t0213400-01	Os04t0243700-01
1	Os01t0213400-01	Os04t0419550-01
1	Os01t0213400-01	Os04t0450300-00
1	Os01t0213400-01	Os04t0450400-01
1	Os01t0213400-01	Os04t0487400-00
1	Os01t0213400-01	Os04t0511600-01
1	Os01t0213400-01	Os04t0579200-01
1	Os01t0213400-01	Os04t0580800-01
1	Os01t0213400-01	Os04t0585000-01
1	Os01t0213400-01	Os04t0586700-01
1	Os01t0213400-01	Os04t0590900-01
1	Os01t0213400-01	Os05t0145000-01
1	Os01t0213400-01	Os05t0164200-01
1	Os01t0213400-01	Os05t0352750-00
1	Os01t0213400-01	Os05t0359500-00
1	Os01t0213400-01	Os05t0360400-01
1	Os01t0213400-01	Os05t0408800-00
1	Os01t0213400-01	Os05t0439000-01
1	Os01t0213400-01	Os05t0468900-01
1	Os01t0213400-01	Os05t0478000-01
1	Os01t0213400-01	Os05t0596500-01
1	Os01t0213400-01	Os06t0109100-00
1	Os01t0213400-01	Os06t0167200-01
1	Os01t0213400-01	Os06t0187300-00
1	Os01t0213400-01	Os06t0192800-01
1	Os01t0213400-01	Os06t0218300-01
1	Os01t0213400-01	Os06t0231600-01
1	Os01t0213400-01	Os06t0233200-01
1	Os01t0213400-01	Os06t0271600-00
1	Os01t0213400-01	Os06t0534500-00
1	Os01t0213400-01	Os06t0534800-02
1	Os01t0213400-01	Os06t0534900-00
1	Os01t0213400-01	Os06t0534950-00
1	Os01t0213400-01	Os06t0535200-01
1	Os01t0213400-01	Os06t0535400-01
1	Os01t0213400-01	Os06t0535900-01
1	Os01t0213400-01	Os06t0536100-00
1	Os01t0213400-01	Os06t0536600-00
1	Os01t0213400-01	Os06t0537300-00
1	Os01t0213400-01	Os06t0537500-00
1	Os01t0213400-01	Os06t0537600-01
1	Os01t0213400-01	Os06t0540050-00
1	Os01t0213400-01	Os06t0540200-00
1	Os01t0213400-01	Os06t0666500-00
1	Os01t0213400-01	Os06t0695900-01
1	Os01t0213400-01	Os06t0717600-02
1	Os01t0213400-01	Os07t0159600-00
1	Os01t0213400-01	Os07t0194675-00
1	Os01t0213400-01	Os07t0421800-01
1	Os01t0213400-01	Os07t0479100-02
1	Os01t0213400-01	Os07t0484300-01
1	Os01t0213400-01	Os07t0631200-01
1	Os01t0213400-01	Os07t0686300-01
1	Os01t0213400-01	Os08t0157400-01
1	Os01t0213400-01	Os08t0445000-01
1	Os01t0213400-01	Os08t0484200-01
1	Os01t0213400-01	Os08t0492500-01
1	Os01t0213400-01	Os08t0526350-00
1	Os01t0213400-01	Os08t0550400-01
1	Os01t0213400-01	Os08t0563500-00
1	Os01t0213400-01	Os09t0243200-01
1	Os01t0213400-01	Os09t0298500-01
1	Os01t0213400-01	Os09t0376700-01
1	Os01t0213400-01	Os09t0468300-00
1	Os01t0213400-01	Os09t0468800-00
1	Os01t0213400-01	Os09t0478600-01
1	Os01t0213400-01	Os09t0535500-01
1	Os01t0213400-01	Os09t0542600-01
1	Os01t0213400-01	Os09t0554200-01
1	Os01t0213400-01	Os10t0438800-01
1	Os01t0213400-01	Os10t0544600-02
1	Os01t0213400-01	Os10t0546900-00
1	Os01t0213400-01	Os10t0566400-01
1	Os01t0213400-01	Os10t0574400-01
1	Os01t0213400-01	Os11t0113900-00
1	Os01t0213400-01	Os11t0146750-00
1	Os01t0213400-01	Os11t0150450-01
1	Os01t0213400-01	Os11t0582100-01
1	Os01t0213400-01	Os11t0610600-00
1	Os01t0213400-01	Os11t0649801-00
1	Os01t0213400-01	Os12t0108350-00
1	Os01t0213400-01	Os12t0113700-00
1	Os01t0213400-01	Os12t0113800-00
1	Os01t0213400-01	Os12t0134500-00
1	Os01t0213400-01	Os12t0135300-00
1	Os01t0213400-01	Os12t0140200-00
1	Os01t0213400-01	Os12t0140700-01
1	Os01t0213400-01	Os12t0143750-01
1	Os01t0213400-01	Os12t0146000-00
1	Os01t0213400-01	Os12t0149100-01
1	Os01t0213400-01	Os12t0432600-01
1	Os01t0213400-01	Os12t0580700-01
1	Os01t0213400-01	Os12t0620100-00
1	Os01t0266100-01	Os01t0311100-00
1	Os01t0266100-01	Os01t0311400-00
1	Os01t0266100-01	Os01t0673900-01
1	Os01t0266100-01	Os01t0690333-00
1	Os01t0266100-01	Os01t0755700-01
1	Os01t0266100-01	Os01t0822800-01
1	Os01t0266100-01	Os01t0830900-00
1	Os01t0266100-01	Os01t0844700-00
1	Os01t0266100-01	Os01t0866000-01
1	Os01t0266100-01	Os01t0977600-02
1	Os01t0266100-01	Os02t0106600-01
1	Os01t0266100-01	Os02t0178600-01
1	Os01t0266100-01	Os02t0191500-01
1	Os01t0266100-01	Os02t0248100-00
1	Os01t0266100-01	Os02t0248200-00
1	Os01t0266100-01	Os02t0248440-00
1	Os01t0266100-01	Os02t0249200-00
1	Os01t0266100-01	Os02t0249300-00
1	Os01t0266100-01	Os02t0475101-00
1	Os01t0266100-01	Os02t0528000-00
1	Os01t0266100-01	Os02t0541500-00
1	Os01t0266100-01	Os02t0559800-01
1	Os01t0266100-01	Os02t0560200-01
1	Os01t0266100-01	Os02t0560600-01
1	Os01t0266100-01	Os02t0561000-01
1	Os01t0266100-01	Os02t0561400-01
1	Os01t0266100-01	Os02t0561800-01
1	Os01t0266100-01	Os02t0561900-00
1	Os01t0266100-01	Os02t0572200-01
1	Os01t0266100-01	Os02t0572300-00
1	Os01t0266100-01	Os02t0645000-01
1	Os01t0266100-01	Os02t0681200-01
1	Os01t0266100-01	Os02t0682300-01
1	Os01t0266100-01	Os02t0686100-00
1	Os01t0266100-01	Os02t0692000-01
1	Os01t0266100-01	Os02t0730050-00
1	Os01t0266100-01	Os02t0743100-00
1	Os01t0266100-01	Os02t0743700-03
1	Os01t0266100-01	Os02t0759400-01
1	Os01t0266100-01	Os02t0790600-01
1	Os01t0266100-01	Os02t0798200-01
1	Os01t0266100-01	Os02t0820200-01
1	Os01t0266100-01	Os02t0832150-00
1	Os01t0266100-01	Os03t0149700-00
1	Os01t0266100-01	Os03t0149800-01
1	Os01t0266100-01	Os03t0188200-01
1	Os01t0266100-01	Os03t0206900-01
1	Os01t0266100-01	Os03t0272300-01
1	Os01t0266100-01	Os03t0340100-00
1	Os01t0266100-01	Os03t0377600-01
1	Os01t0266100-01	Os03t0391100-00
1	Os01t0266100-01	Os03t0398600-00
1	Os01t0266100-01	Os03t0648600-00
1	Os01t0266100-01	Os03t0788100-01
1	Os01t0266100-01	Os04t0101800-01
1	Os01t0266100-01	Os04t0243700-01
1	Os01t0266100-01	Os04t0419550-01
1	Os01t0266100-01	Os04t0450300-00
1	Os01t0266100-01	Os04t0450400-01
1	Os01t0266100-01	Os04t0487400-00
1	Os01t0266100-01	Os04t0511600-01
1	Os01t0266100-01	Os04t0579200-01
1	Os01t0266100-01	Os04t0580800-01
1	Os01t0266100-01	Os04t0585000-01
1	Os01t0266100-01	Os04t0586700-01
1	Os01t0266100-01	Os04t0590900-01
1	Os01t0266100-01	Os05t0145000-01
1	Os01t0266100-01	Os05t0164200-01
1	Os01t0266100-01	Os05t0352750-00
1	Os01t0266100-01	Os05t0359500-00
1	Os01t0266100-01	Os05t0360400-01
1	Os01t0266100-01	Os05t0408800-00
1	Os01t0266100-01	Os05t0439000-01
1	Os01t0266100-01	Os05t0468900-01
1	Os01t0266100-01	Os05t0478000-01
1	Os01t0266100-01	Os05t0596500-01
1	Os01t0266100-01	Os06t0109100-00
1	Os01t0266100-01	Os06t0167200-01
1	Os01t0266100-01	Os06t0187300-00
1	Os01t0266100-01	Os06t0192800-01
1	Os01t0266100-01	Os06t0218300-01
1	Os01t0266100-01	Os06t0231600-01
1	Os01t0266100-01	Os06t0233200-01
1	Os01t0266100-01	Os06t0271600-00
1	Os01t0266100-01	Os06t0534500-00
1	Os01t0266100-01	Os06t0534800-02
1	Os01t0266100-01	Os06t0534900-00
1	Os01t0266100-01	Os06t0534950-00
1	Os01t0266100-01	Os06t0535200-01
1	Os01t0266100-01	Os06t0535400-01
1	Os01t0266100-01	Os06t0535900-01
1	Os01t0266100-01	Os06t0536100-00
1	Os01t0266100-01	Os06t0536600-00
1	Os01t0266100-01	Os06t0537300-00
1	Os01t0266100-01	Os06t0537500-00
1	Os01t0266100-01	Os06t0537600-01
1	Os01t0266100-01	Os06t0540050-00
1	Os01t0266100-01	Os06t0540200-00
1	Os01t0266100-01	Os06t0666500-00
1	Os01t0266100-01	Os06t0695900-01
1	Os01t0266100-01	Os06t0717600-02
1	Os01t0266100-01	Os07t0159600-00
1	Os01t0266100-01	Os07t0194675-00
1	Os01t0266100-01	Os07t0421800-01
1	Os01t0266100-01	Os07t0479100-02
1	Os01t0266100-01	Os07t0484300-01
1	Os01t0266100-01	Os07t0631200-01
1	Os01t0266100-01	Os07t0686300-01
1	Os01t0266100-01	Os08t0157400-01
1	Os01t0266100-01	Os08t0445000-01
1	Os01t0266100-01	Os08t0484200-01
1	Os01t0266100-01	Os08t0492500-01
1	Os01t0266100-01	Os08t0526350-00
1	Os01t0266100-01	Os08t0550400-01
1	Os01t0266100-01	Os08t0563500-00
1	Os01t0266100-01	Os09t0243200-01
1	Os01t0266100-01	Os09t0298500-01
1	Os01t0266100-01	Os09t0376700-01
1	Os01t0266100-01	Os09t0468300-00
1	Os01t0266100-01	Os09t0468800-00
1	Os01t0266100-01	Os09t0478600-01
1	Os01t0266100-01	Os09t0535500-01
1	Os01t0266100-01	Os09t0542600-01
1	Os01t0266100-01	Os09t0554200-01
1	Os01t0266100-01	Os10t0438800-01
1	Os01t0266100-01	Os10t0544600-02
1	Os01t0266100-01	Os10t0546900-00
1	Os01t0266100-01	Os10t0566400-01
1	Os01t0266100-01	Os10t0574400-01
1	Os01t0266100-01	Os11t0113900-00
1	Os01t0266100-01	Os11t0146750-00
1	Os01t0266100-01	Os11t0150450-01
1	Os01t0266100-01	Os11t0582100-01
1	Os01t0266100-01	Os11t0610600-00
1	Os01t0266100-01	Os11t0649801-00
1	Os01t0266100-01	Os12t0108350-00
1	Os01t0266100-01	Os12t0113700-00
1	Os01t0266100-01	Os12t0113800-00
1	Os01t0266100-01	Os12t0134500-00
1	Os01t0266100-01	Os12t0135300-00
1	Os01t0266100-01	Os12t0140200-00
1	Os01t0266100-01	Os12t0140700-01
1	Os01t0266100-01	Os12t0143750-01
1	Os01t0266100-01	Os12t0146000-00
1	Os01t0266100-01	Os12t0149100-01
1	Os01t0266100-01	Os12t0432600-01
1	Os01t0266100-01	Os12t0580700-01
1	Os01t0266100-01	Os12t0620100-00
1	Os01t0311100-00	Os01t0311400-00
1	Os01t0311100-00	Os01t0673900-01
1	Os01t0311100-00	Os01t0690333-00
1	Os01t0311100-00	Os01t0755700-01
1	Os01t0311100-00	Os01t0822800-01
1	Os01t0311100-00	Os01t0830900-00
1	Os01t0311100-00	Os01t0844700-00
1	Os01t0311100-00	Os01t0866000-01
1	Os01t0311100-00	Os01t0977600-02
1	Os01t0311100-00	Os02t0106600-01
1	Os01t0311100-00	Os02t0178600-01
1	Os01t0311100-00	Os02t0191500-01
1	Os01t0311100-00	Os02t0248100-00
1	Os01t0311100-00	Os02t0248200-00
1	Os01t0311100-00	Os02t0248440-00
1	Os01t0311100-00	Os02t0249200-00
1	Os01t0311100-00	Os02t0249300-00
1	Os01t0311100-00	Os02t0475101-00
1	Os01t0311100-00	Os02t0528000-00
1	Os01t0311100-00	Os02t0541500-00
1	Os01t0311100-00	Os02t0559800-01
1	Os01t0311100-00	Os02t0560200-01
1	Os01t0311100-00	Os02t0560600-01
1	Os01t0311100-00	Os02t0561000-01
1	Os01t0311100-00	Os02t0561400-01
1	Os01t0311100-00	Os02t0561800-01
1	Os01t0311100-00	Os02t0561900-00
1	Os01t0311100-00	Os02t0572200-01
1	Os01t0311100-00	Os02t0572300-00
1	Os01t0311100-00	Os02t0645000-01
1	Os01t0311100-00	Os02t0681200-01
1	Os01t0311100-00	Os02t0682300-01
1	Os01t0311100-00	Os02t0686100-00
1	Os01t0311100-00	Os02t0692000-01
1	Os01t0311100-00	Os02t0730050-00
1	Os01t0311100-00	Os02t0743100-00
1	Os01t0311100-00	Os02t0743700-03
