seqid	assembly	chromosome	start	end	strand	geneID
Os07t0572400-01	IRGSP-1.0	7	23110169	23111254	1	Os07g0572400
Os03t0626100-01	IRGSP-1.0	3	23836063	23839587	1	Os03g0626100
Os10t0568300-01	IRGSP-1.0	10	22531145	22534379	-1	Os10g0568300
Os04t0209450-00	IRGSP-1.0	4	7317838	7318217	1	Os04g0209450
Os03t0184600-01	IRGSP-1.0	3	4444015	4446466	1	Os03g0184600
Os02t0651200-00	IRGSP-1.0	2	26246799	26247122	1	Os02g0651200
Os11t0693750-00	IRGSP-1.0	11	28321779	28327027	-1	Os11g0693750
Os08t0523400-00	IRGSP-1.0	8	26020204	26021349	-1	Os08g0523400
Os07t0124800-01	IRGSP-1.0	7	1313767	1316444	-1	Os07g0124800
Os04t0349650-00	IRGSP-1.0	4	16662508	16664437	-1	Os04g0349650
Os03t0767650-00	IRGSP-1.0	3	31786091	31787567	-1	Os03g0767650
Os10t0423300-00	IRGSP-1.0	10	15003427	15004575	1	Os10g0423300
Os03t0599600-01	IRGSP-1.0	3	22372945	22380120	1	Os03g0599600
Os11t0205500-01	IRGSP-1.0	11	5325801	5327659	-1	Os11g0205500
Os11t0205500-02	IRGSP-1.0	11	5324768	5327659	-1	Os11g0205500
Os03t0251000-03	IRGSP-1.0	3	7965176	7966095	-1	Os03g0251000
Os09t0410700-00	IRGSP-1.0	9	14583538	14586281	-1	Os09g0410700
Os03t0800100-01	IRGSP-1.0	3	33363986	33370563	1	Os03g0800100
Os04t0504200-01	IRGSP-1.0	4	25174782	25175746	-1	Os04g0504200
Os04t0444900-01	IRGSP-1.0	4	22189044	22191821	1	Os04g0444900
Os04t0692200-01	IRGSP-1.0	4	35426979	35429380	1	Os04g0692200
Os01t0100800-01	IRGSP-1.0	1	29818	34453	1	Os01g0100800
Os06t0226700-01	IRGSP-1.0	6	6571018	6572598	1	Os06g0226700
Os02t0833400-01	IRGSP-1.0	2	35840220	35845140	-1	Os02g0833400
Os02t0833400-02	IRGSP-1.0	2	35842510	35845041	-1	Os02g0833400
Os02t0833400-03	IRGSP-1.0	2	35840156	35841003	-1	Os02g0833400
Os10t0546200-00	IRGSP-1.0	10	21340893	21348041	1	Os10g0546200
Os04t0452100-02	IRGSP-1.0	4	22549901	22555033	1	Os04g0452100
Os04t0452100-01	IRGSP-1.0	4	22550007	22555038	1	Os04g0452100
Os02t0463500-01	IRGSP-1.0	2	15549318	15558300	-1	Os02g0463500
Os10t0514700-00	IRGSP-1.0	10	19847084	19848778	1	Os10g0514700
Os07t0636000-01	IRGSP-1.0	7	26406702	26408800	-1	Os07g0636000
Os04t0488400-01	IRGSP-1.0	4	24391459	24395755	-1	Os04g0488400
Os10t0418900-01	IRGSP-1.0	10	14717787	14718330	-1	Os10g0418900
Os04t0529800-01	IRGSP-1.0	4	26506073	26508797	-1	Os04g0529800
Os04t0529800-02	IRGSP-1.0	4	26506261	26507840	-1	Os04g0529800
Os03t0821100-01	IRGSP-1.0	3	34446327	34450665	1	Os03g0821100
Os08t0199300-01	IRGSP-1.0	8	5746738	5751829	1	Os08g0199300
Os03t0165400-02	IRGSP-1.0	3	3525128	3527710	-1	Os03g0165400
Os03t0165400-01	IRGSP-1.0	3	3525115	3531350	-1	Os03g0165400
Os02t0761600-01	IRGSP-1.0	2	32071208	32080446	-1	Os02g0761600
Os09t0327550-00	IRGSP-1.0	9	9663570	9665770	-1	Os09g0327550
Os12t0151000-01	IRGSP-1.0	12	2535927	2538830	1	Os12g0151000
Os11t0588300-01	IRGSP-1.0	11	22305918	22310081	1	Os11g0588300
Os11t0588300-02	IRGSP-1.0	11	22305951	22310081	1	Os11g0588300
Os01t0505600-01	IRGSP-1.0	1	17581215	17582104	1	Os01g0505600
Os03t0706500-01	IRGSP-1.0	3	28428504	28430438	1	Os03g0706500
Os08t0342400-03	IRGSP-1.0	8	15439484	15448955	-1	Os08g0342400
Os08t0342400-02	IRGSP-1.0	8	15438856	15450574	-1	Os08g0342400
Os08t0342400-01	IRGSP-1.0	8	15441219	15450607	-1	Os08g0342400
Os07t0679700-01	IRGSP-1.0	7	28786471	28793002	-1	Os07g0679700
Os10t0531900-01	IRGSP-1.0	10	20660761	20663311	-1	Os10g0531900
Os09t0341600-01	IRGSP-1.0	9	10522954	10524537	-1	Os09g0341600
Os02t0187700-00	IRGSP-1.0	2	4867738	4868831	1	Os02g0187700
Os11t0677425-00	IRGSP-1.0	11	27368754	27381376	-1	Os11g0677425
Os07t0297100-01	IRGSP-1.0	7	11627408	11628385	1	Os07g0297100
Os02t0494600-01	IRGSP-1.0	2	17339028	17342514	1	Os02g0494600
Os05t0127233-00	IRGSP-1.0	5	1535903	1536374	-1	Os05g0127233
Os01t0230200-01	IRGSP-1.0	1	7216513	7225127	-1	Os01g0230200
Os07t0408100-01	IRGSP-1.0	7	12676151	12684320	-1	Os07g0408100
Os07t0408100-02	IRGSP-1.0	7	12679536	12684320	-1	Os07g0408100
Os07t0548100-00	IRGSP-1.0	7	21747927	21751105	-1	Os07g0548100
Os07t0197400-01	IRGSP-1.0	7	5276964	5279196	1	Os07g0197400
Os03t0603800-01	IRGSP-1.0	3	22628794	22630315	1	Os03g0603800
Os11t0497350-00	IRGSP-1.0	11	17694769	17696076	1	Os11g0497350
Os11t0472500-02	IRGSP-1.0	11	16275479	16279579	1	Os11g0472500
Os11t0472500-01	IRGSP-1.0	11	16275347	16279652	1	Os11g0472500
Os09t0378200-00	IRGSP-1.0	9	12729598	12730467	-1	Os09g0378200
Os10t0200000-01	IRGSP-1.0	10	7026783	7031173	-1	Os10g0200000
Os10t0200000-02	IRGSP-1.0	10	7023019	7029356	-1	Os10g0200000
Os06t0610300-01	IRGSP-1.0	6	24312470	24313095	1	Os06g0610300
Os01t0587400-01	IRGSP-1.0	1	22879904	22895941	-1	Os01g0587400
Os02t0514326-00	IRGSP-1.0	2	18537130	18540652	-1	Os02g0514326
Os12t0162400-01	IRGSP-1.0	12	3145079	3149502	-1	Os12g0162400
Os06t0229066-00	IRGSP-1.0	6	6702956	6704431	-1	Os06g0229066
Os10t0563900-01	IRGSP-1.0	10	22268600	22270503	1	Os10g0563900
Os05t0196400-01	IRGSP-1.0	5	5927515	5929945	-1	Os05g0196400
Os05t0196400-02	IRGSP-1.0	5	5927515	5929300	-1	Os05g0196400
Os05t0547700-02	IRGSP-1.0	5	27168614	27171366	1	Os05g0547700
Os05t0547700-01	IRGSP-1.0	5	27168591	27171319	1	Os05g0547700
Os10t0198900-00	IRGSP-1.0	10	6897044	6905955	1	Os10g0198900
Os03t0586400-01	IRGSP-1.0	3	21631071	21634055	-1	Os03g0586400
Os09t0533600-01	IRGSP-1.0	9	20962267	20967452	-1	Os09g0533600
Os03t0576500-01	IRGSP-1.0	3	21081361	21081960	1	Os03g0576500
Os09t0442900-01	IRGSP-1.0	9	16477066	16481692	1	Os09g0442900
Os11t0287100-00	IRGSP-1.0	11	10373993	10374618	1	Os11g0287100
Os12t0105800-01	IRGSP-1.0	12	306553	310206	-1	Os12g0105800
Os04t0660100-01	IRGSP-1.0	4	33682229	33683540	-1	Os04g0660100
Os04t0660100-02	IRGSP-1.0	4	33676818	33683268	-1	Os04g0660100
Os11t0116900-01	IRGSP-1.0	11	759592	763326	-1	Os11g0116900
Os07t0490400-01	IRGSP-1.0	7	18228610	18232364	1	Os07g0490400
Os08t0256700-01	IRGSP-1.0	8	9538125	9539756	1	Os08g0256700
Os06t0142800-01	IRGSP-1.0	6	2247873	2250815	1	Os06g0142800
Os07t0157900-01	IRGSP-1.0	7	3111642	3113960	1	Os07g0157900
Os07t0534700-01	IRGSP-1.0	7	20970019	20975946	1	Os07g0534700
Os06t0352900-02	IRGSP-1.0	6	14387246	14388593	-1	Os06g0352900
Os06t0352900-01	IRGSP-1.0	6	14387206	14390175	-1	Os06g0352900
Os06t0638500-00	IRGSP-1.0	6	25946419	25949605	-1	Os06g0638500
Os01t0338150-01	IRGSP-1.0	1	13291338	13294921	-1	Os01g0338150
Os07t0613000-01	IRGSP-1.0	7	25225862	25226756	-1	Os07g0613000
Os03t0144951-00	IRGSP-1.0	3	2492199	2495209	1	Os03g0144951
Os08t0496600-00	IRGSP-1.0	8	24519872	24521682	-1	Os08g0496600
Os07t0586500-02	IRGSP-1.0	7	23833418	23840102	1	Os07g0586500
Os07t0586500-01	IRGSP-1.0	7	23833292	23840024	1	Os07g0586500
Os03t0146900-00	IRGSP-1.0	3	2609710	2611671	-1	Os03g0146900
Os04t0140666-01	IRGSP-1.0	4	2755176	2758796	-1	Os04g0140666
Os01t0824700-01	IRGSP-1.0	1	35238064	35240841	1	Os01g0824700
Os08t0553150-00	IRGSP-1.0	8	27681236	27682174	-1	Os08g0553150
Os03t0332100-00	IRGSP-1.0	3	12235398	12249872	-1	Os03g0332100
Os03t0850000-01	IRGSP-1.0	3	35769802	35772247	-1	Os03g0850000
Os08t0326900-01	IRGSP-1.0	8	14372565	14377015	-1	Os08g0326900
Os08t0326900-02	IRGSP-1.0	8	14374809	14376937	-1	Os08g0326900
Os07t0108200-00	IRGSP-1.0	7	440518	444836	-1	Os07g0108200
Os12t0265100-01	IRGSP-1.0	12	9397067	9400391	-1	Os12g0265100
Os12t0265100-02	IRGSP-1.0	12	9397094	9398863	-1	Os12g0265100
Os06t0698812-00	IRGSP-1.0	6	29355252	29356136	-1	Os06g0698812
Os08t0125850-00	IRGSP-1.0	8	1503964	1506282	1	Os08g0125850
Os12t0556300-01	IRGSP-1.0	12	22635834	22640197	1	Os12g0556300
Os02t0573300-01	IRGSP-1.0	2	21981053	21986507	-1	Os02g0573300
Os11t0708000-03	IRGSP-1.0	11	28973283	28977329	-1	Os11g0708000
Os11t0708000-01	IRGSP-1.0	11	28973142	28977761	-1	Os11g0708000
Os06t0185700-01	IRGSP-1.0	6	4313339	4316576	1	Os06g0185700
Os11t0169700-01	IRGSP-1.0	11	3368987	3370887	-1	Os11g0169700
Os07t0533850-00	IRGSP-1.0	7	20931851	20933692	1	Os07g0533850
Os07t0571600-00	IRGSP-1.0	7	23076409	23078827	-1	Os07g0571600
Os01t0130100-01	IRGSP-1.0	1	1673866	1674692	1	Os01g0130100
Os07t0475000-01	IRGSP-1.0	7	17136166	17144612	1	Os07g0475000
Os07t0162100-00	IRGSP-1.0	7	3316476	3318170	-1	Os07g0162100
Os02t0264700-01	IRGSP-1.0	2	9409107	9413552	1	Os02g0264700
Os01t0959750-00	IRGSP-1.0	1	42301803	42302292	1	Os01g0959750
Os08t0116900-01	IRGSP-1.0	8	940888	944407	-1	Os08g0116900
Os07t0163500-01	IRGSP-1.0	7	3388224	3400176	1	Os07g0163500
Os02t0809700-01	IRGSP-1.0	2	34609403	34611324	-1	Os02g0809700
Os04t0558200-00	IRGSP-1.0	4	27980869	27982048	-1	Os04g0558200
Os01t0976475-00	IRGSP-1.0	1	43147029	43147576	-1	Os01g0976475
Os02t0267200-00	IRGSP-1.0	2	9551864	9553485	1	Os02g0267200
Os01t0143400-00	IRGSP-1.0	1	2361799	2363814	-1	Os01g0143400
Os10t0162842-00	IRGSP-1.0	10	4075770	4081525	1	Os10g0162842
Os02t0505500-01	IRGSP-1.0	2	17981509	17982535	-1	Os02g0505500
Os03t0107600-01	IRGSP-1.0	3	465197	467860	1	Os03g0107600
Os03t0107600-02	IRGSP-1.0	3	465247	468002	1	Os03g0107600
Os03t0107600-03	IRGSP-1.0	3	466048	467852	1	Os03g0107600
Os01t0168100-01	IRGSP-1.0	1	3479423	3484579	-1	Os01g0168100
Os01t0168100-02	IRGSP-1.0	1	3479396	3480825	-1	Os01g0168100
Os02t0770700-01	IRGSP-1.0	2	32499213	32507151	-1	Os02g0770700
Os07t0568000-02	IRGSP-1.0	7	22817195	22820293	-1	Os07g0568000
Os07t0568000-01	IRGSP-1.0	7	22817202	22822175	-1	Os07g0568000
Os07t0568000-04	IRGSP-1.0	7	22817200	22822031	-1	Os07g0568000
Os07t0568000-03	IRGSP-1.0	7	22817211	22819236	-1	Os07g0568000
Os02t0595400-01	IRGSP-1.0	2	23105718	23106537	-1	Os02g0595400
Os02t0151350-00	IRGSP-1.0	2	2824590	2829902	1	Os02g0151350
Os06t0696566-01	IRGSP-1.0	6	29138986	29139490	1	Os06g0696566
Os09t0390400-01	IRGSP-1.0	9	13470483	13472871	1	Os09g0390400
Os10t0437200-01	IRGSP-1.0	10	15637609	15644444	-1	Os10g0437200
Os09t0557800-01	IRGSP-1.0	9	22168447	22171513	1	Os09g0557800
Os07t0142300-01	IRGSP-1.0	7	2179636	2180493	1	Os07g0142300
Os10t0463200-01	IRGSP-1.0	10	17070925	17072455	1	Os10g0463200
Os04t0381400-00	IRGSP-1.0	4	18690634	18694626	1	Os04g0381400
Os12t0611200-01	IRGSP-1.0	12	25828666	25832900	-1	Os12g0611200
Os03t0709000-01	IRGSP-1.0	3	28594360	28596338	-1	Os03g0709000
Os03t0300900-03	IRGSP-1.0	3	10585137	10586011	1	Os03g0300900
Os03t0300900-02	IRGSP-1.0	3	10584160	10586008	1	Os03g0300900
Os03t0300900-01	IRGSP-1.0	3	10583988	10585996	1	Os03g0300900
Os03t0185500-01	IRGSP-1.0	3	4486362	4489500	1	Os03g0185500
Os10t0524400-03	IRGSP-1.0	10	20379931	20386013	-1	Os10g0524400
Os10t0524400-04	IRGSP-1.0	10	20377031	20380898	-1	Os10g0524400
Os10t0524400-01	IRGSP-1.0	10	20379579	20386096	-1	Os10g0524400
Os10t0524400-02	IRGSP-1.0	10	20384129	20386085	-1	Os10g0524400
Os01t0616333-01	IRGSP-1.0	1	24461529	24463106	1	Os01g0616333
Os09t0505200-00	IRGSP-1.0	9	19537058	19540626	1	Os09g0505200
Os02t0577600-00	IRGSP-1.0	2	22202768	22204253	-1	Os02g0577600
Os03t0263700-01	IRGSP-1.0	3	8668092	8671028	1	Os03g0263700
Os10t0439100-00	IRGSP-1.0	10	15751894	15753575	1	Os10g0439100
Os08t0484633-00	IRGSP-1.0	8	23943492	23946915	-1	Os08g0484633
Os06t0203200-01	IRGSP-1.0	6	5208882	5212330	-1	Os06g0203200
Os06t0203200-02	IRGSP-1.0	6	5208685	5212328	-1	Os06g0203200
Os12t0167900-01	IRGSP-1.0	12	3429223	3431766	1	Os12g0167900
Os03t0795100-01	IRGSP-1.0	3	33071830	33074545	-1	Os03g0795100
Os01t0921300-01	IRGSP-1.0	1	40230297	40233212	1	Os01g0921300
Os05t0404200-01	IRGSP-1.0	5	19681768	19684597	1	Os05g0404200
Os05t0404200-02	IRGSP-1.0	5	19681845	19684490	1	Os05g0404200
Os08t0150200-01	IRGSP-1.0	8	2889065	2892003	-1	Os08g0150200
Os06t0304600-02	IRGSP-1.0	6	11487003	11494269	-1	Os06g0304600
Os06t0304600-01	IRGSP-1.0	6	11486965	11494270	-1	Os06g0304600
Os01t0118300-02	IRGSP-1.0	1	1047901	1053166	1	Os01g0118300
Os01t0118300-01	IRGSP-1.0	1	1046604	1053166	1	Os01g0118300
Os04t0649500-01	IRGSP-1.0	4	33101621	33102439	-1	Os04g0649500
Os04t0192775-00	IRGSP-1.0	4	6314737	6316723	1	Os04g0192775
Os04t0573200-04	IRGSP-1.0	4	28878774	28881476	1	Os04g0573200
Os04t0573200-05	IRGSP-1.0	4	28878828	28882313	1	Os04g0573200
Os04t0573200-03	IRGSP-1.0	4	28876155	28881577	1	Os04g0573200
Os04t0573200-01	IRGSP-1.0	4	28874420	28878849	1	Os04g0573200
Os04t0573200-02	IRGSP-1.0	4	28874500	28878849	1	Os04g0573200
Os07t0239667-00	IRGSP-1.0	7	7755542	7757904	1	Os07g0239667
Os01t0701100-00	IRGSP-1.0	1	29020887	29025817	-1	Os01g0701100
Os02t0744650-00	IRGSP-1.0	2	31229002	31231570	-1	Os02g0744650
Os01t0209200-01	IRGSP-1.0	1	5921759	5934109	1	Os01g0209200
Os03t0181675-00	IRGSP-1.0	3	4279300	4281410	1	Os03g0181675
Os02t0644466-00	IRGSP-1.0	2	25922559	25923305	1	Os02g0644466
Os03t0841700-02	IRGSP-1.0	3	35382746	35385192	-1	Os03g0841700
Os08t0564400-01	IRGSP-1.0	8	28267322	28269900	-1	Os08g0564400
Os02t0234400-01	IRGSP-1.0	2	7618027	7619445	-1	Os02g0234400
Os12t0444800-00	IRGSP-1.0	12	14974988	14977605	1	Os12g0444800
Os03t0776900-01	IRGSP-1.0	3	32208931	32210830	1	Os03g0776900
Os01t0883400-00	IRGSP-1.0	1	38344272	38344937	1	Os01g0883400
Os06t0139150-01	IRGSP-1.0	6	2064174	2065510	1	Os06g0139150
Os09t0423700-01	IRGSP-1.0	9	15358373	15360507	1	Os09g0423700
Os05t0152400-01	IRGSP-1.0	5	3030704	3033663	1	Os05g0152400
Os05t0319875-00	IRGSP-1.0	5	14854181	14856374	1	Os05g0319875
Os06t0127900-01	IRGSP-1.0	6	1470865	1472378	1	Os06g0127900
Os06t0202300-01	IRGSP-1.0	6	5158231	5165171	1	Os06g0202300
Os07t0459200-02	IRGSP-1.0	7	16013083	16022629	-1	Os07g0459200
Os07t0459200-01	IRGSP-1.0	7	16013078	16022639	-1	Os07g0459200
Os08t0217050-01	IRGSP-1.0	8	6942146	6948943	-1	Os08g0217050
Os06t0151300-01	IRGSP-1.0	6	2642359	2645172	-1	Os06g0151300
Os11t0569800-01	IRGSP-1.0	11	21284892	21289519	-1	Os11g0569800
Os04t0688100-02	IRGSP-1.0	4	35187443	35189040	-1	Os04g0688100
Os04t0688100-01	IRGSP-1.0	4	35187454	35189187	-1	Os04g0688100
Os11t0589800-00	IRGSP-1.0	11	22382356	22384989	1	Os11g0589800
Os10t0162844-00	IRGSP-1.0	10	4080175	4081731	-1	Os10g0162844
Os02t0809100-00	IRGSP-1.0	2	34574608	34576261	-1	Os02g0809100
Os07t0569550-00	IRGSP-1.0	7	22922745	22924814	-1	Os07g0569550
Os02t0173100-04	IRGSP-1.0	2	3998988	4002696	1	Os02g0173100
Os02t0173100-03	IRGSP-1.0	2	3996431	4002659	1	Os02g0173100
Os02t0173100-02	IRGSP-1.0	2	3996161	4002659	1	Os02g0173100
Os02t0173100-01	IRGSP-1.0	2	3995980	4002624	1	Os02g0173100
Os02t0802200-01	IRGSP-1.0	2	34199541	34203704	1	Os02g0802200
Os06t0611600-00	IRGSP-1.0	6	24388239	24389073	1	Os06g0611600
Os07t0448300-00	IRGSP-1.0	7	15369182	15370133	-1	Os07g0448300
Os10t0132901-00	IRGSP-1.0	10	2055209	2058134	-1	Os10g0132901
Os01t0616900-00	IRGSP-1.0	1	24498873	24504951	-1	Os01g0616900
Os09t0573200-01	IRGSP-1.0	9	22934014	22939008	1	Os09g0573200
Os09t0573200-02	IRGSP-1.0	9	22934057	22936352	1	Os09g0573200
Os09t0573200-03	IRGSP-1.0	9	22937234	22938862	1	Os09g0573200
Os03t0562200-02	IRGSP-1.0	3	20188178	20194964	-1	Os03g0562200
Os03t0562200-01	IRGSP-1.0	3	20188198	20194997	-1	Os03g0562200
Os07t0687900-01	IRGSP-1.0	7	29220339	29221843	-1	Os07g0687900
Os02t0768700-01	IRGSP-1.0	2	32378150	32381518	-1	Os02g0768700
Os01t0296700-01	IRGSP-1.0	1	10872358	10874262	1	Os01g0296700
Os07t0497400-01	IRGSP-1.0	7	18643020	18653431	1	Os07g0497400
Os07t0497400-02	IRGSP-1.0	7	18651946	18653433	1	Os07g0497400
Os06t0722300-02	IRGSP-1.0	6	30670849	30677149	-1	Os06g0722300
Os06t0722300-01	IRGSP-1.0	6	30670862	30677149	-1	Os06g0722300
Os08t0119200-00	IRGSP-1.0	8	1062322	1065642	1	Os08g0119200
Os01t0749300-02	IRGSP-1.0	1	31370413	31372729	1	Os01g0749300
Os01t0749300-01	IRGSP-1.0	1	31370502	31372631	1	Os01g0749300
Os11t0673600-00	IRGSP-1.0	11	27223472	27224956	1	Os11g0673600
Os04t0608800-01	IRGSP-1.0	4	30821134	30825426	1	Os04g0608800
Os04t0608800-02	IRGSP-1.0	4	30824023	30825440	1	Os04g0608800
Os01t0579600-01	IRGSP-1.0	1	22427835	22430752	1	Os01g0579600
Os01t0579600-02	IRGSP-1.0	1	22427857	22430779	1	Os01g0579600
Os01t0579600-03	IRGSP-1.0	1	22429578	22430752	1	Os01g0579600
Os01t0203400-01	IRGSP-1.0	1	5685594	5686401	1	Os01g0203400
Os05t0108000-01	IRGSP-1.0	5	448854	453209	-1	Os05g0108000
Os12t0112600-01	IRGSP-1.0	12	645370	651356	1	Os12g0112600
Os07t0501600-00	IRGSP-1.0	7	18901295	18906770	-1	Os07g0501600
Os11t0656700-00	IRGSP-1.0	11	26294183	26294512	1	Os11g0656700
Os02t0477700-01	IRGSP-1.0	2	16360196	16364326	-1	Os02g0477700
Os08t0527300-01	IRGSP-1.0	8	26245378	26250946	-1	Os08g0527300
Os04t0255600-00	IRGSP-1.0	4	10147184	10150653	1	Os04g0255600
Os10t0472400-01	IRGSP-1.0	10	17544776	17547680	1	Os10g0472400
Os02t0147700-02	IRGSP-1.0	2	2614250	2618267	1	Os02g0147700
Os02t0147700-03	IRGSP-1.0	2	2614272	2618999	1	Os02g0147700
Os02t0147700-01	IRGSP-1.0	2	2614247	2618993	1	Os02g0147700
Os04t0519975-00	IRGSP-1.0	4	26036008	26036203	-1	Os04g0519975
Os10t0128502-00	IRGSP-1.0	10	1769240	1769889	1	Os10g0128502
Os12t0191300-00	IRGSP-1.0	12	4642625	4644527	1	Os12g0191300
Os03t0350300-01	IRGSP-1.0	3	13133569	13137486	-1	Os03g0350300
Os08t0206600-02	IRGSP-1.0	8	6218690	6224037	1	Os08g0206600
Os08t0206600-01	IRGSP-1.0	8	6218688	6224033	1	Os08g0206600
Os07t0547700-00	IRGSP-1.0	7	21729270	21735715	-1	Os07g0547700
Os08t0280100-01	IRGSP-1.0	8	10899946	10909610	1	Os08g0280100
Os08t0280100-02	IRGSP-1.0	8	10899990	10903805	1	Os08g0280100
Os05t0564450-00	IRGSP-1.0	5	28093214	28094390	1	Os05g0564450
Os06t0530600-00	IRGSP-1.0	6	19780992	19781426	1	Os06g0530600
Os01t0945400-00	IRGSP-1.0	1	41555174	41559225	1	Os01g0945400
Os04t0249500-00	IRGSP-1.0	4	9661934	9667132	-1	Os04g0249500
Os11t0265100-00	IRGSP-1.0	11	9034753	9042430	-1	Os11g0265100
Os10t0487300-01	IRGSP-1.0	10	18434389	18438275	1	Os10g0487300
Os08t0137300-01	IRGSP-1.0	8	2108318	2112027	1	Os08g0137300
Os06t0274950-01	IRGSP-1.0	6	9336359	9338634	-1	Os06g0274950
